"Mese";"Data";"Categoria";"Descrizione";"Importo";"Fissa";"Tricount";"Note"
"2026-03";"2026-03-08";"Svago";"Tricount Io: Decathlon gabriele 44.98";"22,49";"No";"IO";""
"2026-03";"2026-03-06";"Necessita";"Tricount Fra: Acquisti Amazon per Bea";"17,00";"No";"FRA";""
"2026-03";"2026-03-06";"Svago";"Railway - Deploy progetto";"5,00";"Si";"";""
"2026-03";"2026-03-05";"Necessita";"Tricount Fra: Spesa coop fra";"46,50";"No";"FRA";""
"2026-03";"2026-03-05";"Necessita";"Tricount Fra: Farmacia";"16,00";"No";"FRA";""
"2026-03";"2026-03-04";"Necessita";"Tricount Fra: Acqua gassata";"12,50";"No";"FRA";""
"2026-03";"2026-03-04";"Necessita";"Tricount Fra: Bimbostore";"6,50";"No";"FRA";""
"2026-03";"2026-03-04";"Svago";"Tricount Fra: Lavanderia Trapunta";"11,00";"No";"FRA";""
"2026-03";"2026-03-04";"Necessita";"Tricount Io: Premio assicurativo ARCA casa mutuo";"22,00";"No";"IO";""
"2026-03";"2026-03-01";"Necessita";"Tricount Io: Diesel";"13,00";"No";"IO";""
"2026-03";"2026-03-01";"Necessita";"Tricount Io: Spesa coop 135.74";"67,87";"No";"IO";""
"2026-03";"2026-03-01";"Svago";"Barbiere";"28,00";"No";"";""
"2026-03";"2026-02-28";"Svago";"Tricount Io: Aperitivo il botanico";"11,60";"No";"IO";""
"2026-03";"2026-02-27";"Svago";"Netflix";"13,99";"Si";"";""
"2026-03";"2026-02-27";"Svago";"CLAUDE";"21,96";"Si";"";""
"2026-03";"2026-02-27";"Necessita";"Amazon Prime Abb.";"4,99";"Si";"";""
"2026-03";"2026-02-27";"Necessita";"Pulizie Roberta";"40,00";"Si";"";""
"2026-03";"2026-02-27";"Necessita";"Tim Mobile";"20,00";"Si";"";""
"2026-03";"2026-02-27";"Necessita";"Wind Internet";"30,96";"Si";"";""
"2026-03";"2026-02-27";"Svago";"OpenAI";"20,87";"Si";"";""
"2026-03";"2026-02-27";"Necessita";"google drive";"2,99";"Si";"";""
"2026-03";"2026-02-27";"Necessita";"Asilo retta Gab";"171,00";"Si";"";""
"2026-03";"2026-02-27";"Necessita";"Mutuo (metà fra)";"342,00";"Si";"";""
"2026-02";"2026-02-24";"Svago";"Parcheggio le Conce Foligno";"1,50";"No";"";""
"2026-02";"2026-02-24";"Svago";"Ticket EDENRED - spesa coop";"63,00";"No";"";""
"2026-02";"2026-02-24";"Svago";"Tricount Fra: Spesa";"6,50";"No";"FRA";""
"2026-02";"2026-02-24";"Necessita";"Tricount Io: Carta identità beatrice";"11,00";"No";"IO";""
"2026-02";"2026-02-24";"Necessita";"Carta identità nuova";"22,00";"No";"";""
"2026-02";"2026-02-23";"Necessita";"Fototessera per carta identita";"6,00";"No";"";""
"2026-02";"2026-02-23";"Necessita";"Amazon Prime abbonamento";"4,99";"Si";"";""
"2026-02";"2026-02-21";"Svago";"Bar centro";"6,50";"No";"";""
"2026-02";"2026-02-21";"Necessita";"Tricount Io: Foto beatrice";"4,25";"No";"IO";""
"2026-02";"2026-02-21";"Svago";"Tricount Fra: Pizza cena con lucia";"15,00";"No";"FRA";""
"2026-02";"2026-02-20";"Svago";"Tricount Io: Birre";"6,50";"No";"IO";""
"2026-02";"2026-02-20";"Svago";"Dischetti Olimpionici da 1,25kg";"19,32";"No";"";""
"2026-02";"2026-02-19";"Necessita";"Tricount Fra: Metano";"7,50";"No";"FRA";""
"2026-02";"2026-02-19";"Necessita";"Tricount Fra: Farmacia Bea";"18,50";"No";"FRA";""
"2026-02";"2026-02-18";"Svago";"Tricount Io: Atletica gabriele winner";"62,50";"No";"IO";""
"2026-02";"2026-02-18";"Necessita";"Ciucci Beatrice";"13,95";"No";"";""
"2026-02";"2026-02-17";"Necessita";"Tricount Fra: Integratori allattamento";"12,50";"No";"FRA";""
"2026-02";"2026-02-17";"Necessita";"Tricount Fra: Allettamento";"41,00";"No";"FRA";""
"2026-02";"2026-02-17";"Necessita";"Tricount Fra: Spesa";"41,50";"No";"FRA";""
"2026-02";"2026-02-17";"Svago";"Tricount Fra: Cena hamburger";"15,50";"No";"FRA";""
"2026-02";"2026-02-17";"Necessita";"Prelievo atm";"2,70";"No";"";""
"2026-02";"2026-02-16";"Svago";"Bonifici istantanei - per gestione flussi TR e BBVA";"3,00";"No";"";""
"2026-02";"2026-02-14";"Necessita";"Tricount Io: Risparmio casa";"5,33";"No";"IO";""
"2026-02";"2026-02-13";"Necessita";"Tricount Io: Lancia Y - Cambio GOMME - Persichini";"135,00";"No";"IO";""
"2026-02";"2026-02-12";"Necessita";"Tricount Io: Lancia y - batteria e luce";"37,50";"No";"IO";""
"2026-02";"2026-02-12";"Necessita";"Tricount Io: Diesel";"12,50";"No";"IO";""
"2026-02";"2026-02-09";"Svago";"Colazione winner";"3,70";"No";"";""
"2026-02";"2026-02-08";"Necessita";"Tricount Io: Risparmio casa pannilini";"5,94";"No";"IO";""
"2026-02";"2026-02-07";"Svago";"Railway.com x - questa webapp -  5 euro";"5,00";"Si";"";""
"2026-02";"2026-02-07";"Necessita";"ProteineWHEY(34,24) + OMEGA3 (27,99)- AMAZON";"62,23";"No";"";""
"2026-02";"2026-02-07";"Svago";"Netflix";"14,00";"Si";"";""
"2026-02";"2026-02-07";"Necessita";"Tricount Io: Coop 13.29";"6,64";"No";"IO";""
"2026-02";"2026-02-06";"Necessita";"Tricount Io: Toppe pantaloni GAB 27,98";"13,99";"No";"IO";""
"2026-02";"2026-02-06";"Necessita";"Tricount Fra: Spesa";"13,50";"No";"FRA";""
"2026-02";"2026-02-04";"Necessita";"Coop buoni pasto";"21,00";"No";"";""
"2026-02";"2026-02-04";"Necessita";"Coop";"6,73";"No";"";""
"2026-02";"2026-02-03";"Necessita";"Tricount Fra: Spesa";"15,00";"No";"FRA";""
"2026-02";"2026-02-03";"Svago";"Tricount Fra: Dyson";"124,00";"No";"FRA";""
"2026-02";"2026-02-03";"Svago";"CLAUDE Code PRO";"21,96";"Si";"";""
"2026-02";"2026-02-03";"Necessita";"Tricount Fra: Latte Beatrice";"9,00";"No";"FRA";""
"2026-02";"2026-02-03";"Necessita";"Tricount Fra: Pomata Beatrice";"6,00";"No";"FRA";""
"2026-02";"2026-02-03";"Necessita";"Tricount Fra: Risparmio casa";"10,00";"No";"FRA";""
"2026-02";"2026-02-01";"Necessita";"Tricount Io: 31.89 - Cuscino gabriele amazon";"15,95";"No";"IO";""
"2026-02";"2026-01-30";"Necessita";"Tricount Fra: Quota iscrizione asilo";"50,00";"No";"FRA";""
"2026-02";"2026-01-30";"Necessita";"Tricount Fra: Spesa";"37,50";"No";"FRA";""
"2026-02";"2026-01-30";"Necessita";"Diesel 25,09 (meta fra)";"12,50";"No";"IO";""
"2026-02";"2026-01-29";"Necessita";"Spesa (fra tricount)";"8,50";"No";"FRA";""
"2026-02";"2026-01-29";"Necessita";"BOLLETTA Luce Dicembre (meta fra)";"40,00";"No";"IO";""
"2026-02";"2026-01-29";"Necessita";"Caldaia Manutenzione (meta fra)";"22,50";"No";"IO";""
"2026-02";"2026-01-29";"Necessita";"BPER costo 3 bonifici";"5,00";"No";"";""
"2026-02";"2026-01-29";"Necessita";"Wind 3 - Commissioni (???)";"2,00";"No";"";""
"2026-02";"2026-01-29";"Necessita";"Mutuo (metà Fra) (fisso)";"342,00";"Si";"IO";""
"2026-02";"2026-01-29";"Necessita";"Gab Retta Asilo Feb (fisso)";"160,00";"Si";"IO";""
"2026-02";"2026-01-29";"Necessita";"Google Drive Spazio (fisso)";"2,99";"Si";"IO";""
"2026-02";"2026-01-29";"Necessita";"OpenAI GTP (fisso)";"20,87";"Si";"";""
"2026-02";"2026-01-29";"Necessita";"Wind Internet (fisso)";"30,96";"Si";"IO";""
"2026-02";"2026-01-29";"Necessita";"Tim Mobile (fisso)";"20,00";"Si";"";""
"2026-02";"2026-01-29";"Necessita";"Pulizie Roberta (fisso)";"40,00";"Si";"IO";""
"2026-01";"2026-01-29";"Risparmi";"Trade Republic (Vacanze&Extra)";"95,00";"No";"";""
"2026-02";"2026-01-27";"Risparmi";"TRADE Republic : Vacanze ed Extra";"200,00";"No";"";""
"2026-01";"2026-01-27";"Necessita";"Spesa (Fra Tricount)";"28,50";"No";"";""
"2026-01";"2026-01-26";"Necessita";"Compleanno Gab (Fra tricount)";"15,00";"No";"";""
"2026-01";"2026-01-26";"Necessita";"Farmacia (Fra Tricount)";"25,00";"No";"";""
"2026-01";"2026-01-25";"Necessita";"Spesa Coop (Fra Tricount)";"25,00";"No";"";""
"2026-01";"2026-01-24";"Necessita";"Farmacia test streptococco";"15,00";"No";"";""
"2026-01";"2026-01-24";"Necessita";"Farmacia mascherine";"2,50";"No";"";""
"2026-01";"2026-01-23";"Necessita";"Spesa tricount (Fra)";"15,00";"No";"";""
"2026-01";"2026-01-22";"Necessita";"Trade Republic - Nuova carta Classic";"5,00";"No";"";""
"2026-01";"2026-01-22";"Necessita";"Farmacia tricount (Fra)";"13,00";"No";"";""
"2026-01";"2026-01-22";"Svago";"Cinema - parcheggio";"3,00";"No";"";""
"2026-01";"2026-01-21";"Necessita";"Claude PRO (fisso)";"21,96";"No";"";""
"2026-01";"2026-01-21";"Necessita";"Wind tre commissioni";"2,00";"No";"";""
"2026-01";"2026-01-20";"Necessita";"Farmacia per Bea (metà) tricount";"15,00";"No";"";""
"2026-01";"2026-01-19";"Necessita";"Tiralatte (metà) tricount";"17,00";"No";"";""
"2026-01";"2026-01-19";"Necessita";"Cordone ombelicale (da Fra)";"5,00";"No";"";""
"2026-01";"2026-01-18";"Necessita";"Coop (spesa fatta da Fra)";"39,00";"No";"";""
"2026-01";"2026-01-18";"Svago";"Cinema Gab (metà Fra)";"9,00";"No";"";""
"2026-01";"2026-01-17";"Necessita";"Magnesio Bislicinato (2 mesi)";"14,99";"No";"";""
"2026-01";"2026-01-17";"Necessita";"Gab Pizza Compleanno + ticket (metà)";"16,50";"No";"";""
"2026-01";"2026-01-16";"Necessita";"Termometro (metà Fra)";"5,45";"No";"";""
"2026-01";"2026-01-15";"Necessita";"Coop (latte soia e pannolini)";"9,65";"No";"";""
"2026-01";"2026-01-15";"Necessita";"Fermenti Beatrice Farmacia";"10,75";"No";"";""
"2026-01";"2026-01-14";"Necessita";"Mutuo (metà con Francesca) (fisso)";"342,00";"No";"";""
"2026-01";"2026-01-14";"Necessita";"Diesel";"30,00";"No";"";""
"2026-01";"2026-01-14";"Svago";"Pizza bianca zero 27 (metà Fra)";"13,50";"No";"";""
"2026-01";"2026-01-13";"Necessita";"Cena Conad vicino ospedale Terni";"18,48";"No";"";""
"2026-01";"2026-01-12";"Necessita";"Cena bar Terni ospedale";"6,50";"No";"";""
"2026-01";"2026-01-12";"Necessita";"Cena McDonald Terni ospedale";"9,90";"No";"";""
"2026-01";"2026-01-11";"Necessita";"Pranzo ospedale Terni";"7,80";"No";"";""
"2026-01";"2026-01-10";"Necessita";"Colazione bar Terni";"3,00";"No";"";""
"2026-01";"2026-01-10";"Necessita";"Pizza ospedale Terni per Fra";"11,70";"No";"";""
"2026-01";"2026-01-09";"Svago";"Netflix (fisso)";"14,00";"No";"";""
"2026-01";"2026-01-09";"Necessita";"Creatina";"40,00";"No";"";""
"2026-01";"2026-01-08";"Necessita";"Oki gola - Farmacia";"12,50";"No";"";""
"2026-01";"2026-01-08";"Necessita";"Diesel";"15,00";"No";"";""
"2026-01";"2026-01-07";"Necessita";"Gab retta Asilo gennaio (fisso)";"169,00";"No";"";""
"2026-01";"2026-01-07";"Necessita";"LIDL spesa";"25,00";"No";"";""
"2026-01";"2026-01-06";"Necessita";"Google Drive Spazio (fisso)";"2,99";"No";"";""
"2026-01";"2026-01-05";"Necessita";"OpenAI - GPT (fisso)";"21,28";"No";"";""
"2026-01";"2026-01-05";"Svago";"Anello Francesca";"350,00";"No";"";""
"2026-01";"2026-01-05";"Necessita";"BPER competenze ed oneri";"9,60";"No";"";""
"2026-01";"2026-01-04";"Necessita";"Wind Internet (fisso)";"30,96";"No";"";""
"2026-01";"2026-01-03";"Necessita";"Tim Mobile (fisso)";"20,00";"No";"";""
"2026-01";"2026-01-03";"Necessita";"Pulizie Roberta (fisso)";"40,00";"No";"";""
"2026-01";"2026-01-02";"Necessita";"Gab Vestiti";"8,50";"No";"";""
"2026-01";"2026-01-01";"Svago";"Umami Pranzo fuori centro";"23,50";"No";"";""
"2026-01";"2026-01-01";"Necessita";"Gab Teatro";"3,50";"No";"";""
"2026-01";"2026-01-01";"Necessita";"Gab Regalo";"25,00";"No";"";""
"2026-01";"2025-12-31";"Risparmi";"BBVA Fondo Emergenza";"200,00";"No";"";""
"2026-01";"2025-12-31";"Necessita";"Diesel";"12,50";"No";"";""
"2026-01";"2025-12-31";"Necessita";"Coop Spesa";"12,00";"No";"";""
